Project	CMPD ID	Curve Class	Activity Rank	Log EC50	Hill Slope	Max Resp	Signal Direction	Curve Description	Y0	YMax	EC50	R2	Model P	SYX	Mask No	Mask Flags	Min Data	Max Data	Data Range	Project ID	Conc0	Conc1	Conc2	Conc3	Conc4	Conc5	Conc6	Conc7	Conc8	Conc9	Conc10	Conc11	Conc12	Conc13	Conc14	Conc15	Conc16	Conc17	Conc18	Conc19	Conc20	Conc21	Conc22	Conc23	Conc24	Resp0	Resp1	Resp2	Resp3	Resp4	Resp5	Resp6	Resp7	Resp8	Resp9	Resp10	Resp11	Resp12	Resp13	Resp14	Resp15	Resp16	Resp17	Resp18	Resp19	Resp20	Resp21	Resp22	Resp23	Resp24	Smiles	ID	
sample	ID070325-01	-1.2	-3800046.89	-5.950000000000004	1.5094870999999999	-46.89	Decrease	Full Curve, <80% POC		-45.8592	1.1220184543019514	0.9985601616016024		1.4056870012966092	0	0000000	-46.89	2.198	49.088	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			1.3020	2.1980	-0.3814	-7.4670	-33.6000	-43.4900	-46.8900																			ClC1=CC=C(C=C1)C2=NN3C(S2)=NN=C3C4=CC=CC=C4	1023318	
sample	ID075507-01	-1.2	-3800074.68	-5.950000000000004	1.0999999999999999	-74.68	Decrease	Full Curve, <80% POC		-70.86225	1.1220184543019514	0.9781558127472479		40.82419219243834	0	0000000	-74.68	0.345	75.025	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			-4.6150	-3.2210	0.3450	-22.0000	-50.8000	-58.8700	-74.6800																			NC1=C(C#N)C(C2=CC=CO2)C3=C(O1)C4=C(S3)C=CC=C4	1023617	
sample	ID057838-01	-1.2	-3800052.75	-6.150000000000003	0.9999999999999998	-52.75	Decrease	Full Curve, <80% POC		-51.175399999999996	0.7079457843841318	0.9928434589440703		6.89438814905289	0	0000000	-52.75	-0.258	52.492	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			-0.2580	-2.6410	-6.3280	-20.5000	-40.9500	-44.7800	-52.7500																			ClC1=CC=C(C=C1)C2=CC=C(O2)C3=NN4C(S3)=NN=C4C5=CC=CO5	1022584	
sample	ID066915-01	-1.2	-3800063.51	-6.300000000000004	1.8851180601000002	-63.51	Decrease	Full Curve, <80% POC		-70.15040000000003	0.5011872336272669	0.9755579144731007		54.16013180476576	0	0000000	-75.61	-0.202	75.408	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			-0.2020	-0.4177	-9.7260	-31.8600	-75.6100	-68.6700	-63.5100																			NC(=O)C1CCN(CC1)C2=C(N=C(O2)C3=CC=C(OCC4=CC=CC=C4)C=C3)C#N	1023110	
sample	ID062691-01	-1.2	-3800060.05	-5.050000000000003	4.504470284992937	-60.05	Decrease	Full Curve, <80% POC		-59.94579999999999	8.912509381337378	0.9905426476330202		12.44066909569779	0	0000000	-60.05	2.234	62.284	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			1.0770	2.2340	-4.2000	-0.5270	-4.6240	-45.5600	-60.0500																			COC1=C(OCC(O)=O)C=CC(=C1)[C@H]2NC(=O)NC(C3=CC=CC=C3)=C2C(C)=O	1022859	
sample	ID078810-01	-1.2	-3800052.59	-5.650000000000003	1.8851180601000002	-52.59	Decrease	Full Curve, <80% POC		-55.47570000000002	2.2387211385683212	0.9922650736296931		10.163963587828976	0	0000000	-56.56	1.366	57.926	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			0.1409	1.3660	0.3050	-5.0240	-26.6900	-56.5600	-52.5900																			CC(C)C(=O)NC1=CC=C(C=C1)C2=NC3=CC(C)=C(C)C=C3O2	1024491	
sample	ID015969-01	-1.2	-3800033.35	-4.900000000000004	3.1319983358324097	-33.35	Decrease	Full Curve, <80% POC		-35.956	12.589254117941547	0.9846472534433753		2.8652238650463357	0	000000000000000	-35.38	0.8867	36.2667	166	7.0E-10	1.6E-9	3.7E-9	8.2E-9	1.83E-8	4.09E-8	9.15E-8	2.045E-7	4.572E-7	1.0224E-6	2.286E-6	5.1115E-6	1.14293E-5	2.55558E-5	5.71429E-5											-0.2741	-1.1860	0.5659	0.3784	0.4632	0.2475	-0.0438	0.8867	-2.1590	0.2015	-0.6074	-4.4320	-13.3300	-35.3800	-33.3500											CC#CCOC(=O)C1=C(N)C2=C(SC3=C2CC[C@@H](O)C3)N=C1C	1024896	
sample	ID080488-01	-1.2	-3800033.92	-5.5000000000000036	2.9522712143931	-33.92	Decrease	Full Curve, <80% POC		-33.204	3.162277660168349	0.995214863404718		2.7457719670979013	0	0000000	-33.92	4.776	38.696	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			2.8350	4.7760	2.3090	0.9222	-6.6100	-32.2100	-33.9200																			COC1=CC=CC=C1C2=NC(=NO2)C3=CC=C(Br)C=C3	1023839	
sample	ID081754-01	-1.2	-3800046.23	-6.0000000000000036	1.2875610000000002	-46.23	Decrease	Full Curve, <80% POC		-45.41469999999999	0.9999999999999898	0.9732153358697736		27.248339695637892	0	0000000	-46.23	9.383	55.613	166	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	5.71429E-5																			9.3830	1.0670	-3.5040	-7.3090	-35.2500	-40.8300	-46.2300																			C(CNC1=C2N=CN=C2N=CN1)CN3C=CN=C3	1023889	
sample	ID021921-01	-1.2	-3800038.32	-5.400000000000004	1.5385888099999998	-38.32	Decrease	Full Curve, <80% POC		-41.1968	3.98107170553493	0.9977505755625812		1.4030098004085665	0	00000000	-38.32	7.424	45.744	166	7.0E-10	3.7E-9	1.83E-8	9.15E-8	4.572E-7	2.286E-6	1.14293E-5	2.55558E-5																		6.1630	7.4240	4.3990	5.8530	3.7310	-7.6530	-33.9000	-38.3200																		CCOC(=O)C1CCN(CC1)C2=C(N=C3C=CC=CC3=N2)[C@@H](C#N)C(=O)OCC=C	1024397	
