PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,% Inhibition @ 100 uM,% Inhibition @ 50 uM,% Inhibition @ 25 uM,% Inhibition @ 12.5 uM,% Inhibition @ 6.25 uM,% Inhibition @ 3.13 uM,% Inhibition @ 1.56 uM,% Inhibition @ 0.78 uM,% Inhibition @ 0.39 uM,% Inhibition @ 0.19 uM,Primary Outcome,Primary Screen % Inhibition @ 25 uM,Pilot 10K Screen % Inhibition @ 25 uM Rep 1,Pilot 10K Screen % Inhibition @ 25 uM Rep 2,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
739,49680937,1324162,Active,64,,,,41.24,,4.81,7.63,6.34,100,81.29,2.11,4.21,10.36,3.52,10.69,8.37,0,0,Active,82.23,,,verified
740,49715000,24789568,Active,73,,,,19.23,,2.63,2.97,11.42,,95.2,70.68,16.13,15.2,14.79,7.13,9.07,2.03,19.89,Active,28.52,,,verified
741,49715018,24789571,Active,49,,,,80.14,,8.34,1.36,4.59,52.62,42.21,16.86,0.7,0,0,0,5.58,0,0.69,Active,29.9,,,verified
742,49716099,9649400,Active,70,,,,25.47,,1.28,1.93,3.42,90.79,84.33,44.5,20.7,11.21,0,2.72,0.68,0,0,Active,51.94,,,verified
743,49716137,9609431,Active,72,,,,21.16,,1.73,2.02,5.68,83.04,82.58,65.97,21.74,4.14,1.41,0,0,0,0,Active,69.23,,,verified
744,49716192,24789788,Active,42,,,,97.85,,10.69,1.12,3.5,48.84,36.3,14.75,8.41,4.14,0,4.28,1.4,6.09,4.11,Active,42.38,,,verified
745,49716233,22432385,Active,56,,,,61.06,,3.11,2.07,3.47,70.07,45.67,7.03,4.21,2.76,0,1.43,0.7,0.68,0,Active,29.22,,,verified
746,49716279,24789807,Active,70,,,,25.67,,4.82,1.38,10.64,97.23,70.3,42.79,26.51,16.58,,5.7,19.53,10.82,12.34,Active,43.22,,,verified
747,49716334,24789813,Active,63,,,,44.48,,5.2,1.25,5.98,75.02,54.9,29.3,16.13,6.91,7.75,6.42,11.86,3.38,9.6,Active,33.68,,,verified
748,49716373,5322407,Active,63,,,,44.32,,7.74,1.71,10.97,67.08,73.96,13.35,10.52,4.84,11.27,0,8.37,4.73,6.86,Active,50.04,,,verified
749,49716589,9541655,Active,51,,,,73.84,,7.38,1.35,4.58,58.16,42.14,13.35,9.82,3.45,0,4.28,9.77,0,0,Active,48.02,,,verified
750,49716595,6023694,Active,76,,,,11.21,,0.81,1.77,4.73,87.72,97.37,76.73,57.56,28.19,4.71,0,0,0,0,Active,85.9,,,verified
751,49716669,22588248,Active,41,,,>,100,,16.13,0.91,1.93,41.13,23.37,19.04,7.59,5.09,3.36,0.68,0,2.75,1.39,Active,34.41,,,verified
752,49716670,22588268,Active,41,,,>,100,,70.95,0.65,11.15,29.33,50.06,37.94,28.3,1.02,0,0,0,0,0,Active,31.8,,,verified
753,49717825,22588246,Active,50,,,,78.1,,23.9,0.86,9.27,43.66,59.9,24.68,9.66,6.45,5.38,0.68,10.88,3.44,2.77,Active,37.17,,,verified
754,49718807,1179739,Active,71,,,,23.88,,1.58,2.73,5.38,100,95.44,47.75,17.25,10.53,8.07,0,4.08,0.69,0,Active,59.17,,,verified
755,49721816,16014339,Active,41,,,>,100,,27,0.82,5.9,43.44,40.98,26.35,14.73,0,3.52,0.71,4.88,4.73,10.29,Active,39.15,,,verified
756,49721824,16014341,Active,41,,,>,100,,28.63,0.92,5.37,38.62,41.26,17.56,11.92,0,0,0,0,0,4.11,Active,46.74,,,verified
757,49721832,16014492,Active,41,,,>,100,,12.56,1.28,4.14,49.43,27.14,16.86,4.21,0,0,9.27,2.79,5.41,1.37,Active,42.71,,,verified
758,49721838,16446382,Active,64,,,,40.51,,3.06,1.42,4.27,80.12,53.39,36.74,18.63,0,0,2.72,6.12,4.82,0,Active,53.95,,,verified
759,49721840,16447014,Active,41,,,>,100,,10.61,1.32,3.28,44.22,33.25,11.24,0.7,0,0,0,0,0,0,Active,42.87,,,verified
760,49721922,16446399,Active,43,,,,95.98,,9.15,1.18,3.24,51.32,30.54,21.08,1.4,6.91,4.23,0,0,0.68,1.37,Active,48.53,,,verified
761,49721929,16446868,Active,64,,,,41.47,,3.54,1.24,4.38,73.98,56.12,36.53,17.53,4.14,9.16,0,0,10.15,0,Active,59.61,,,verified
762,49721930,16446678,Active,41,,,>,100,,17.66,1.81,5.14,41.22,18.32,1.41,5.61,1.38,0,0.71,6.28,0,11.66,Active,35.43,,,verified
763,49721937,16014365,Active,41,,,>,100,,1.79,1.94,0.6,42.2,16.96,4.22,0,0,0,0,0,0,0,Active,45.27,,,verified
764,49722024,16446681,Active,60,,,,50.64,,3.47,1.23,3.37,68.06,48.71,33.5,17.94,0,0,0,0,1.38,0,Active,49.55,,,verified
765,49724275,5342416,Active,41,,,>,100,,22.26,1.4,3.69,36.86,21.95,4.23,1.38,1.7,9.41,0,0,0,0,Active,50.2,,,verified
766,49724784,1582612,Active,41,,,>,100,,370.53,0.53,6.07,30.61,21.04,27.54,6.31,0,7.75,9.27,8.37,0,4.11,Active,32.56,,,verified
767,49724792,4089709,Active,62,,,,46.44,,7.98,1.16,8.25,60.18,62.63,38.71,9.82,0,4.93,6.42,2.79,10.82,2.74,Active,51.67,,,verified
768,49724825,2130911,Active,69,,,,28.21,,6.57,9.24,6.16,85.2,100,24.66,4.21,4.14,0,4.99,2.09,2.03,4.11,Active,80.26,,,verified
769,49724843,3492788,Active,67,,,,33.99,,4.23,1.79,8.09,76.65,79.05,30,11.22,9.67,7.04,2.85,11.86,0.68,0,Active,35.9,,,verified
770,49724882,2436293,Active,55,,,,65.68,,2.39,2.34,2.65,71.06,37.53,5.64,2.07,0,0,0,5.44,0,0,Active,30.15,,,verified
771,49724924,5703293,Active,41,,,>,100,,565.4,0.5,12.61,45.86,2.12,16.93,33.75,21.4,4.03,0,1.36,0,0,Active,29.09,,,verified
772,49724993,2866583,Active,54,,,,67.93,,4.5,6.34,5.3,92.32,12.21,9.84,5.61,0.69,4.93,8.55,1.4,0,0,Active,38.33,,,verified
773,49724994,1327876,Active,71,,,,24.26,,3.69,1.8,10,73.33,84.01,60.56,11.92,9.67,1.41,4.28,0,12.17,4.11,Active,46.27,,,verified
774,49725002,24792258,Active,67,,,,34.34,,1.98,4.6,5.28,100,85.63,17.56,11.22,4.14,7.04,4.99,3.49,0,3.43,Active,63.67,,,verified
775,49725024,66721,Active,41,,,>,100,,42.07,0.87,6.26,39.33,39.72,13.4,6.21,1.7,8.74,6.8,2.04,8.95,0.69,Active,55.3,,,verified
776,49725027,1309516,Active,78,,,,7.15,,0.61,2.45,6.56,91.46,100,93.61,77.57,46.26,4.71,4.08,5.44,6.88,11.09,Active,84.23,,,verified
777,49725028,2058961,Active,78,,,,7.22,,1.07,1.92,10.06,83.86,79.73,88.62,76.85,50.43,5.64,4.28,1.4,0,7.54,Active,99.43,,,verified
778,49725121,1580460,Active,69,,,,29.27,,1.31,5.96,3.75,99.57,97.68,27.5,10.35,2.38,0,0,1.36,2.75,0,Active,49.51,,,verified
779,49725122,2717277,Active,69,,,,30.35,,3.89,1.84,8.49,70.46,81.29,45.42,8.97,0,1.34,0,0,0,0,Active,60.07,,,verified
780,49727560,697391,Active,56,,,,62.55,,9.89,1.55,8.73,60.06,55.51,8.46,3.45,10.53,1.34,0,9.52,5.51,6.24,Active,58.03,,,verified
781,49729231,1630007,Active,68,,,,31.11,,7.74,1.16,12.68,56.14,74.57,62.74,14.73,4.14,1.41,2.14,2.09,3.38,3.43,Active,57.08,,,verified
782,49729347,1774469,Active,69,,,,28.82,,3.35,1.78,7.56,76.78,85.97,36.67,21.04,3.45,4.93,0,2.79,0,4.8,Active,68.38,,,verified
783,49729349,1270554,Active,72,,,,21.22,,1.83,1.33,4.83,79.13,78.37,60,33.59,12.43,2.11,7.84,2.09,0,0,Active,77.01,,,verified
784,49729894,1602611,Active,68,,,,32.5,,2.76,4.62,7.83,94.37,89.37,21.78,7.71,13.82,4.93,3.56,7.67,8.79,7.54,Active,96.73,,,verified
785,49730174,3186789,Active,47,,,,86.03,,3.09,2.19,2.29,58.81,21.71,8.43,2.1,0,5.64,0.71,1.4,0,0,Active,49.47,,,verified
786,49731520,1552046,Active,58,,,,56.88,,11.25,1.11,8.64,51.26,64.86,27.5,9.66,3.74,2.02,0,0,1.38,0.69,Active,41.24,,,verified
787,49731810,16014337,Active,41,,,>,100,,17.51,1.04,1.82,36.27,22.39,11.94,7.71,0.69,0,0,1.4,3.38,2.06,Active,52.87,,,verified
788,49731812,16446305,Active,60,,,,52.32,,5.75,1.07,4.8,59.66,55.58,34.63,15.87,2.38,2.02,6.12,0,2.06,0,Active,54.88,,,verified
789,49731815,16447016,Active,63,,,,44.5,,6.05,1.38,7.43,62.13,66.7,34.29,6.31,2.07,0,0.71,0,0.68,0,Active,65.58,,,verified
790,49731967,3616901,Active,67,,,,34.84,,0.28,3.86,0.73,100,79.8,21.86,2.07,1.02,0,0,0.68,0,0,Active,35.01,,,verified
791,49732685,2133640,Active,41,,,>,100,,66.35,0.71,5.5,39.27,27.82,23.19,15.43,0,4.23,0,9.07,2.03,10.29,Active,49.32,,,verified
792,49732904,992586,Active,77,,,,7.66,,0.57,2.35,5.56,89.66,93.45,100,70.81,43.47,6.05,0,0,0,0,Active,93.79,,,verified
793,49733573,2267263,Active,66,,,,37.76,,5.2,1.16,6.84,68.12,67.38,37.24,20.34,4.84,5.64,4.99,6.28,11.5,6.17,Active,42.8,,,verified
794,49733783,455264,Active,47,,,,84.43,,12.48,1.66,7.47,60.24,22.39,18.97,0,3.45,12.68,9.98,0,2.71,7.54,Active,51.05,,,verified
795,49734490,16014494,Active,43,,,,94.26,,22.47,1.08,7.65,54.64,29.18,21.08,7.71,4.84,0,11.41,12.56,3.38,13.03,Active,37.44,,,verified
796,49815818,1637842,Active,72,,,,21.63,,2.96,1.71,8.76,84.32,91.2,54.59,22.08,12.57,8.07,17.68,8.16,4.82,2.08,Active,55.09,,,verified
797,49815861,9541651,Active,53,,,,69,,1.96,2.98,2.34,76.52,25.11,10.54,0,0,0,0,0,0,0,Active,34.77,,,verified
798,49815869,1349446,Active,68,,,,31.35,,1.58,2.48,3.88,92.32,80.72,31.03,13.8,8.49,0,0,0,0,0,Active,32.86,,,verified
799,49816182,16404997,Active,63,,,,43.4,,5.82,2.32,9.98,69.62,74.03,11.24,2.1,4.14,5.64,0,6.28,5.41,0,Active,31.16,,,verified
800,49816240,1320846,Active,55,,,,64.26,,6.5,1.39,5.07,67.99,38.81,19.67,7.01,8.98,11.27,6.42,2.79,1.35,4.11,Active,33.47,,,verified
801,49816277,6324349,Active,66,,,,37.02,,7.37,1.18,10.06,58.55,73.28,47.28,12.62,0.69,7.75,4.28,0,1.35,2.74,Active,69.61,,,verified
802,49817233,1349447,Active,68,,,,30.75,,1.55,4.45,4.75,98.57,90.84,27.5,6.9,5.09,4.03,6.8,2.72,4.13,6.24,Active,68.63,,,verified
803,49817281,135550905,Active,47,,,,83.85,,9.82,1.05,3.98,53.79,39.9,19.67,8.41,9.67,3.52,0,5.58,8.12,0.69,Active,32.09,,,verified
804,49819946,1399269,Active,71,,,,24.91,,1.97,2.33,5.92,100,87.87,44.92,19.32,8.49,4.71,9.52,8.16,4.13,2.08,Active,35.29,,,verified
805,49819948,2068808,Active,67,,,,34.5,,2.95,3.74,7.67,78.26,85.25,19.75,7.59,0.34,0,0,2.72,0,0,Active,51.67,,,verified
806,49820093,16405604,Active,52,,,,72.59,,8.01,1.55,5.75,58.03,44.85,8.43,4.21,2.07,8.45,2.85,4.19,0,4.8,Active,28.99,,,verified
807,49820432,4872167,Active,68,,,,31.56,,1.81,2.99,4.81,84.66,84.9,30.82,7.59,0,0,0,0,0,0,Active,43.23,,,verified
808,49820497,4895697,Active,65,,,,39.8,,4.31,2.02,7.48,75.48,72.47,21.78,7.01,2.07,12.68,2.85,2.09,0,0,Active,42.74,,,verified
809,49822459,6237665,Active,41,,,>,100,,8.91,2.37,4.33,45.65,12.21,6.32,0,0,4.23,3.56,6.28,8.12,0,Active,40.11,,,verified
810,49822503,6533011,Active,41,,,>,100,,19.01,1.56,3.71,35.88,24.43,0,0,0,0,0,2.09,0,0,Active,52.4,,,verified
811,49822506,7642658,Active,44,,,,91.59,,7.84,1.68,4.1,51.64,32.57,1.41,6.31,4.14,0,0,0,0,0,Active,29.84,,,verified
812,49822507,6226066,Active,49,,,,79.43,,7.96,1.43,4.64,54.12,42.61,9.13,7.01,0.69,0,1.43,4.88,1.35,2.06,Active,58.65,,,verified
813,49822513,17578728,Active,64,,,,41.1,,3.41,2.29,6.13,76.85,71.38,16.86,7.71,1.38,0,1.43,0,0,0,Active,50.71,,,verified
814,49822539,6227369,Active,62,,,,47.85,,5.29,1.48,6.28,64.28,62.22,29.72,4.21,0,0,0,0,0,0,Active,38.32,,,verified
815,49822818,18277263,Active,66,,,,37.74,,3.71,1.7,6.21,71.83,70.77,35.34,6.31,0,1.41,2.85,0,0,0,Active,41.37,,,verified
816,49825037,3816425,Active,68,,,,32.59,,2.36,4.72,6.66,82.78,89.91,21.78,0.7,3.45,0,2.14,6.28,4.06,0,Active,56.06,,,verified
817,49825397,2910228,Active,65,,,,38.1,,6.22,1.93,11.03,63.56,80.75,28.67,0,0,0,0,0,0,0,Active,55.69,,,verified
818,49825440,2918794,Active,65,,,,38.49,,3.59,2.27,6.87,76.53,74.56,22.57,4.14,3.74,2.02,0,1.36,6.88,3.46,Active,40.03,,,verified
819,49825561,1314808,Active,66,,,,37.73,,3.94,2.39,7.88,81.59,73.76,22.48,5.61,6.22,8.45,8.55,6.28,4.06,10.29,Active,39.95,,,verified
820,49825607,1295523,Active,64,,,,40.55,,2.89,1.89,4.76,79.39,67.19,21.86,11.73,5.77,2.69,0.68,6.12,0,0,Active,28.78,,,verified
821,49826132,3839115,Active,66,,,,37.7,,2.13,1.98,3.88,88.15,61.48,34.43,5.61,2.76,2.11,7.13,4.88,0,2.74,Active,47.78,,,verified
822,49826345,2305968,Active,75,,,,12.68,,0.63,3.75,4.92,95.32,97.83,99.18,45.34,13.25,0.67,0,2.04,8.26,0,Active,84.47,,,verified
823,49826802,1949127,Active,41,,,,99.28,,13.83,1.18,4.58,46.3,38.75,14.05,3.51,0.69,2.82,4.99,6.28,0,0,Active,33.8,,,verified
824,49828906,6532044,Active,68,,,,31.81,,3,6.11,7.62,91.55,94.79,18.27,7.71,6.91,12.68,1.43,9.77,5.41,2.06,Active,67.36,,,verified
825,49829332,3496625,Active,41,,,>,100,,94.4,0.97,6.12,26.77,34,4.22,4.91,0,0,0,0,0,0,Active,35.12,,,verified
826,49829387,3531704,Active,68,,,,31.96,,3.36,2.38,7.94,84.86,82.28,30.33,11.04,7.13,9.41,8.16,5.44,8.95,6.93,Active,37.36,,,verified
827,50085656,1620235,Active,54,,,,66.28,,3.43,1.94,3.32,72.61,30.54,17.56,7.01,2.07,1.41,0.71,0,2.03,0,Active,45.79,,,verified
828,50085712,3833515,Active,61,,,,48.62,,7.89,2.21,11.72,63.33,72.86,3.53,0,0,0,0,0,0,0,Active,28.52,,,verified
829,50085747,4308410,Active,55,,,,64.62,,7.98,1.81,7.6,59.85,53.67,4.22,0,0,0,0,0.7,0,2.74,Active,41.94,,,verified
830,50085771,2023917,Active,64,,,,42.22,,2.19,1.96,3.52,77.66,64.5,23.98,6.9,0,0,0,0,0,0,Active,37.21,,,verified
831,50085906,22525634,Active,71,,,,22.92,,2.99,1.91,8.83,100,92.19,42.03,26.23,13.92,10.76,11.56,5.44,8.26,0,Active,38.45,,,verified
832,50086104,654648,Active,78,,,,5.64,,1.9,0.59,12.22,85.98,65.75,68.15,61.71,78.62,28.39,25.66,29.37,16.23,4.8,Active,53.06,,,verified
833,50086468,2043868,Active,41,,,>,100,,42.82,0.73,3.39,37.19,28.5,21.78,12.62,7.6,0,0,0,6.76,4.11,Active,41.67,,,verified
834,51087836,5905739,Active,71,,,,22.86,,3.2,1.22,7.47,80.36,74.64,50.52,43.76,5.53,4.93,1.43,9.07,7.44,5.49,Active,66.87,,,verified
835,51088891,5076890,Active,49,,,,80.38,,16.49,1.38,9.09,63.56,26.46,13.35,14.02,7.6,7.75,7.13,13.26,9.47,11.66,Active,78.72,,,verified
836,51089019,16441040,Active,68,,,,32.47,,3.71,2.45,8.74,83.26,84.47,26.09,13.8,7.81,12.1,7.48,1.36,4.82,6.24,Active,43.24,,,verified
837,51089738,6372730,Active,68,,,,30.39,,1.92,3.92,5.9,100,90.59,28.6,14.73,1.38,5.64,7.13,0,6.09,0,Active,58.73,,,verified
838,51090291,10735291,Active,41,,,>,100,,45.43,0.58,4.21,39.21,41.46,22.48,18.93,8.29,10.57,3.56,9.07,4.06,2.06,Active,48.81,,,verified
839,56314731,24978638,Active,65,,,,39.81,,1.98,3.03,4.21,88.29,69.55,17.56,2.8,0,4.93,4.28,6.28,0,3.43,Active,31.52,,,verified
840,56320788,1564382,Active,51,,,,75.37,,10.63,1.56,7.25,53.6,48.31,7.03,0,0,0,5.7,0.7,6.09,2.74,Active,36.94,,,verified
841,56320859,9642771,Active,67,,,,33.13,,2.86,2.8,7.03,86.6,83.26,24.59,13.32,7.6,5.64,7.13,4.19,2.03,4.11,Active,31.89,,,verified
842,56422551,3152779,Active,68,,,,30.38,,2.5,3.19,7.15,80.23,86.72,35.41,0.7,2.07,0,4.28,4.19,4.73,1.37,Active,37.2,,,verified
843,56422552,3152781,Active,68,,,,32.39,,5.35,1.74,10.62,74.37,82.92,32.18,12.62,6.91,8.45,10.69,6.98,15.56,2.74,Active,37.2,,,verified
844,56463403,16656499,Active,66,,,,36.26,,2.91,2.48,6.16,83.33,76.07,23.19,8.41,5.53,5.64,1.43,6.28,6.09,3.43,Active,54.06,,,verified
845,56463407,16656087,Active,66,,,,37.42,,4.41,2.22,8.58,70.99,79.26,23.89,4.21,0,0.7,0,0,0,0,Active,29.52,,,verified
846,56463418,25102629,Active,65,,,,40.35,,2.64,4.23,6.14,81.22,74.57,8.43,0,0,0,1.43,0,0,0,Active,29.09,,,verified
847,56463722,16656001,Active,61,,,,48.29,,2.93,2.77,4.98,80.23,58.9,7.73,0,0,4.23,0,2.79,0,4.8,Active,38.44,,,verified
848,56463790,16656471,Active,58,,,,57.89,,3.29,2.19,4.04,73.79,46.55,9.13,2.1,2.07,8.45,0.71,0,0.68,2.74,Active,30.58,,,verified
849,56463796,5353745,Active,51,,,,75.49,,4.38,2.13,3.84,65.13,29.18,4.92,10.52,5.53,2.82,0,0,0,0,Active,31.34,,,verified
850,57260893,320930,Active,72,,,,22.54,,6489.56,23.5,4.37,100,100,92.04,0,0,5.38,4.08,0.68,10.32,0,Active,32.66,,,verified
851,57261278,23697355,Active,78,,,,7.02,,0.91,2.47,9.95,77.93,82.7,98.17,79.3,45.92,8.07,0,0.68,0,0,Active,78.52,,,verified
852,57261279,3279941,Active,41,,,>,100,,92.68,0.55,5.63,43.76,22.39,28.31,22.44,13.13,0,11.41,6.28,3.38,0,Active,40.78,,,verified
853,57261364,135472945,Active,73,,,,19.08,,1.88,2.69,7.87,88.26,100,66.44,22.08,10.53,2.69,7.48,14.28,4.13,4.16,Active,51.15,,,verified
854,57264392,360404,Active,79,,,,4.06,,0.84,4.17,19.12,55.88,82.85,81.71,96.61,87.25,23.95,6.42,9.77,12.17,8.91,Active,83.03,,,verified
855,57264487,5292830,Active,54,,,,67.74,,13.66,0.82,6.27,60.19,47.65,18.34,26.23,12.57,4.71,6.12,11.56,4.82,0,Active,59.29,,,verified
856,57266928,2335144,Active,67,,,,33.16,,2.64,2.34,5.96,79.06,78.44,35.34,2.1,2.07,0,0,0,0,0,Active,56.34,,,verified
857,81066044,12843056,Active,66,,,,35.8,,2.16,3.93,5.47,84.02,81.63,18.27,0,4.14,0,2.85,0,0,0,Active,50.07,,,verified
858,81066144,42628139,Active,61,,,,50.47,,5.34,1.79,6.73,68.45,61.55,15.46,1.4,7.6,5.64,0,1.4,1.35,1.37,Active,29.52,,,verified
859,85147383,602897,Active,41,,,>,100,,14.92,1.33,3.68,43.05,27.14,7.03,5.61,1.38,0.7,2.85,7.67,2.03,3.43,Active,56.53,,,verified
